id,address1,address2,latitude,longitude,has_cardomat,is_open,workload,city
13,"4 мкр-н, ул. К.Сатпаева, д. 10","помещение 50, уг. ул. Петрова",51.1505,71.4699,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
17,"пр. Богенбай батыра, д. 6Б","уг. ул. 2-Алматинская, возле рынка Эталон",51.1763678940824,71.3919412539665,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
10,"р-н Алматы, пр. Абылай Хана, д. 34","уг. ул. Жансугурова, ТД Гульжан, ост. ""Встреча""",51.1541119347638,71.4856726441799,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
6,"р-н Алматы, ул. Иманова, д. 8",уг. пр. Республики,51.1627,71.4302,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
19,"р-н Алматы, ул. Кенесары, д. 78",уг. ул. Жубанова,51.1627,71.4626,False,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
15,"р-н Алматы, ул. Ш. Валиханова, д. 24",уг. ул. Сейфуллина,51.174399,71.43916,False,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
8,"р-н Есиль, ул. Достык, д. 12, ВП 36",уг. ул. Сауран,51.1263,71.4252,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
23,"р-н Есиль, ул. Кунаева, д. 14/2, ВП 1",,51.1291230075993,71.4372304576717,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
22,"р-н Есиль, ул. Сыганак, д. 10, ВП 27","уг. ул. Сауран, ЖК Номад",51.124189,71.41858,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Нур-Султан
11,"р-н Сарыарка, пр. Богенбай батыра, д. 63, кв. 38",уг. ул. Валиханова,51.178649,71.432559,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
9,"р-н Сарыарка, пр. Женис, д. 25, ВП 1",уг. ул. Сейфуллина,51.1708229867479,71.4120299999992,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Нур-Султан
20,"р-н Сарыарка, пр. Женис, д. 8/1, кв. 4",уг. ул. Кенесары,51.1644404746316,71.4148736441799,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
21,"р-н Сарыарка, ул. Бейбитшилик, д. 36, кв. 22, 3",возле магазина Колос,51.1784,71.4185,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
7,"р-н Сарыарка, ул. Есенберлина (бывш. пр. Акжайык), д. 12, ВП 1",уг. пр. Женис,51.1909428134108,71.4075483091923,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
12,"р-н  Алматы, ул. Ш. Валиханова, д. 13",уг. ул. Отырар,51.1682736082609,71.439182157077,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
14,"ул. Кажымукана, д. 2",уг. пр. Тауелсыздык,51.1514877195885,71.458769728836,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
24,"ул. Сейфуллина, д. 33, ВП 2","уг. пр. Республики, напротив здания телеканала ""7""",51.1717068940963,71.4264709325401,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Нур-Султан
161,"11 мкр-н, д. 27","ул. Жандосова, уг. пр. Алтынсарина",43.2189,76.8739,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
160,"8 мкр-н, д. 41/6","по пр. Абая, между пр. Алтынсарина и ул. Утеген батыра",43.23,76.8675,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
185,"мкр. Айнабулак-2, д. 71 Д",,43.319665492834,76.9155034404752,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
172,"мкр. Айнабулак-4, д. 172 Г","ул. Жумабаева, в здании магазина Агайын",43.3218053996392,76.9143821189635,False,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Алматы
173,"мкр. Аксай-3, д. 1, помещение 69",на пересечении улиц Толе би и Момышулы,43.2383362849,76.8283992626,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
165,"мкр. Аксай-4, ул. Саина, д. 96А","м/у ул. Жубанова и пр. Улугбека, ост. ""Западная""",43.229109,76.84169,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Алматы
156,"мкр. Казахфильм, ул. Исиналиева, д. 17",выше пр. Аль-Фараби,43.1943,76.9046,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
4,"мкр. Калкаман-2, д. 49","уг. ул. Яссауи, напротив напротив рынка ""Тау-Самал""",43.1963558363856,76.8382984332023,False,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
174,"мкр. Мамыр-1, д. 4",на пересечении улиц Шаляпина и Момышулы,43.2100157224,76.8432055318,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
166,"мкр. Орбита-3, д. 4А",,43.2005,76.8793,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Алматы
184,"мкр. Самал-2, д. 105",ЖК Фантазия,43.2332985353386,76.9529156355817,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
162,"пр. Абая, д. 141",уг. ул. Жарокова,43.239628816584,76.897629470218,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Алматы
148,"пр. Абая, д. 34/96",м/у пр. Сейфуллина и ул. Масанчи,43.2411400002,76.9328607288,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
5,"пр. Абая, д. 46",уг. ул. Шарипова,43.2405017695835,76.9233592625455,True,True,"{'text': 'Ожидание свыше 30 мин', 'type': 'high'}",Алматы
151,"пр. Абылай хана, д. 113",уг. ул. Богенбай батыра,43.252369,76.94131,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
150,"пр. Абылай хана, д. 68",уг. ул. Гоголя,43.2601392064606,76.9411892711639,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Алматы
180,"пр. Достык, д. 248",уг. ул. Омаровой,43.2233082162,76.9630823545,True,True,"{'text': 'Ожидание до 10 мин', 'type': 'low'}",Алматы
169,"пр. Жибек Жолы, д. 52",уг. ул. Малая Ленина,43.2624584102,76.9549281938,True,True,"{'text': 'Ожидание до 30 мин', 'type': 'medium'}",Алматы
